Ticker,Date,Close
EIX,2021-02-25,55.65999984741211
EL,2021-02-25,289.6199951171875
EMN,2021-02-25,110.16000366210938
EMR,2021-02-25,87.33000183105469
ENPH,2021-02-25,167.3699951171875
EOG,2021-02-25,70.58999633789062
EQR,2021-02-25,66.7300033569336
ES,2021-02-25,80.55999755859375
ESS,2021-02-25,261.04998779296875
ETN,2021-02-25,130.16000366210938
ETR,2021-02-25,88.04000091552734
ETSY,2021-02-25,197.5800018310547
EVRG,2021-02-25,53.689998626708984
EW,2021-02-25,83.97000122070312
EXC,2021-02-25,38.91999816894531
EXPD,2021-02-25,91.97000122070312
EXPE,2021-02-25,157.17999267578125
F,2021-02-25,11.760000228881836
FANG,2021-02-25,69.05999755859375
FAST,2021-02-25,46.279998779296875
FB,2021-02-25,254.69000244140625
